DIA;PAIS;PRUEBAS_A;MOLECULARES_A;SEROLOGICAS_A;PRUEBAS_POS;MOLECULARES_POS;SEROLOGICAS_POS;PRUEBAS_D;MOLECULARES_D;SEROLOGICAS_D;PRUEBAS_POS_D;MOLECULARES_POS_D;SEROLOGICAS_POS_D;PRUEBAS_NEG;MOLECULARES_NEG;SEROLOGICAS_NEG;PRUEBAS_NEG_D;MOLECULARES_NEG_D;SEROLOGICAS_NEG_D;MUERTES;CURADOS;MUERTES_D;CURADOS_D;MOBILITY_REPORT
43896;PE;155;155;;1;1;;155;155;0;1;1;0;154;154;0;154;154;0;0;0;0;0;0
43897;PE;219;219;;6;6;;64;64;0;5;5;0;213;213;0;59;59;0;0;0;0;0;0
43898;PE;258;258;;6;6;;39;39;0;0;0;0;252;252;0;39;39;0;0;0;0;0;1
43899;PE;319;319;;9;9;;61;61;0;3;3;0;310;310;0;58;58;0;0;0;0;0;0
43900;PE;367;367;;11;11;;48;48;0;2;2;0;356;356;0;46;46;0;0;0;0;0;0
43901;PE;714;714;;15;15;;347;347;0;4;4;0;699;699;0;343;343;0;0;0;0;0;1
43902;PE;905;905;;22;22;;191;191;0;7;7;0;883;883;0;184;184;0;0;0;0;0;3
43903;PE;1232;1232;;38;38;;327;327;0;16;16;0;1194;1194;0;311;311;0;0;0;0;0;4
43904;PE;1545;1545;;43;43;;313;313;0;5;5;0;1502;1502;0;308;308;0;0;0;0;0;4
43905;PE;1822;1822;;71;71;;277;277;0;28;28;0;1751;1751;0;249;249;0;0;0;0;0;5
43906;PE;2315;2315;;86;86;;493;493;0;15;15;0;2229;2229;0;478;478;0;0;0;0;0;19
43907;PE;2797;2797;;117;117;;482;482;0;31;31;0;2680;2680;0;451;451;0;0;0;0;0;35
43908;PE;3075;3075;;145;145;;278;278;0;28;28;0;2930;2930;0;250;250;0;0;1;0;1;38
43909;PE;3841;3841;;234;234;;766;766;0;89;89;0;3607;3607;0;677;677;0;0;1;0;0;40
43910;PE;4298;4298;;263;263;;457;457;0;29;29;0;4035;4035;0;428;428;0;3;1;3;0;42
43911;PE;4985;4985;;318;318;;687;687;0;55;55;0;4667;4667;0;632;632;0;4;1;1;0;36
43912;PE;6184;6184;;363;363;;1199;1199;0;45;45;0;5821;5821;0;1154;1154;0;5;1;1;0;29
43913;PE;6664;6664;;395;395;;480;480;0;32;32;0;6269;6269;0;448;448;0;5;1;0;0;40
43914;PE;7013;7013;;416;416;;349;349;0;21;21;0;6597;6597;0;328;328;0;5;1;0;0;40
43915;PE;8040;8040;;480;480;;1027;1027;0;64;64;0;7560;7560;0;963;963;0;7;1;2;0;40
43916;PE;9219;9219;;580;580;;1179;1179;0;100;100;0;8639;8639;0;1079;1079;0;9;1;2;0;40
43917;PE;10065;10065;;635;635;;846;846;0;55;55;0;9430;9430;0;791;791;0;13;13;4;12;41
43918;PE;10896;10896;;671;671;;831;831;0;36;36;0;10225;10225;0;795;795;0;17;13;4;0;35
43919;PE;12669;12669;;852;852;;1773;1773;0;181;181;0;11817;11817;0;1592;1592;0;18;15;1;2;29
43920;PE;13452;13452;;950;950;;783;783;0;98;98;0;12502;12502;0;685;685;0;24;322;6;307;38
43921;PE;14463;14463;;1065;1065;;1011;1011;0;115;115;0;13398;13398;0;896;896;0;30;394;6;72;38
43922;PE;15587;15587;;1323;1323;;1124;1124;0;258;258;0;14264;14264;0;866;866;0;48;447;18;53;39
43923;PE;16518;16518;;1414;1414;;931;931;0;91;91;0;15104;15104;0;840;840;0;55;537;7;90;40
43924;PE;17334;17334;;1595;1595;;816;816;0;181;181;0;15739;15739;0;635;635;0;61;537;6;0;41
43925;PE;17841;17841;;1746;1746;;507;507;0;151;151;0;16095;16095;0;356;356;0;73;874;12;337;36
43926;PE;19410;19410;;2281;2281;;1569;1569;0;535;535;0;17129;17129;0;1034;1034;0;83;989;10;115;34
43927;PE;20414;20414;;2561;2561;;1004;1004;0;280;280;0;17853;17853;0;724;724;0;92;997;9;8;39
43928;PE;21555;21555;;2954;2954;;1141;1141;0;393;393;0;18601;18601;0;748;748;0;107;1231;15;234;39
43929;PE;39599;23255;16344;4342;3614;728;18044;1700;16344;1388;660;728;35257;19641;15616;16656;1040;15616;121;1333;14;102;36
43930;PE;48465;24410;24055;5256;4121;1135;8866;1155;7711;914;507;407;43209;20289;22920;7952;648;7304;138;1438;17;105;48
43931;PE;56681;25643;31038;5897;4549;1348;8216;1233;6983;641;428;213;50784;21094;29690;7575;805;6770;169;1569;31;131;51
43932;PE;65712;27519;38193;6848;5261;1587;9031;1876;7155;951;712;239;58864;22258;36606;8080;1164;6916;181;1739;12;170;34
43933;PE;76506;31234;45272;7519;5767;1752;10794;3715;7079;671;506;165;68987;25467;43520;10123;3209;6914;193;1798;12;59;
43934;PE;87136;32664;54472;9784;6135;3649;10630;1430;9200;2265;368;1897;77352;26529;50823;8365;1062;7303;216;2642;23;844;
43935;PE;102216;33366;68850;10303;6527;3776;15080;702;14378;519;392;127;91913;26839;65074;14561;310;14251;230;2869;14;227;
